dataset,grammar,L,strategy,sampling_strategy,sigma,eb_gamma,T,n_reps,mean_rule1,std_rule1,mean_rule2,std_rule2,mean_both_rules,std_both_rules,mean_format,std_format,n_eval_total,ci_low_both_rules,ci_high_both_rules,n_steps_mean,n_steps_max,deterministic,elapsed_s,n_correct,n_correct_too_low,uniqueness,duplication_rate,mean_lev_dist_normalized,lev_n_used,bigram_diversity,trigram_diversity,dfa_state_coverage,dfa_transition_coverage,n_entropy,n_coverage,m_entropy,nm_joint_coverage,max_depth_ratio_mean,max_depth_ratio_std,brackets_parens_ratio_mean,brackets_parens_ratio_std,n_zero_paren_sequences,distribution_path
unconditional,baN,128,gaussian,greedy,100.0,,2,5,0.386,0.036111,1.0,0.0,0.386,0.036111,0.99,0.012649,500,0.344351,0.429388,2.568,3,False,63.8,193,False,0.37305699481865284,0.6269430051813472,0.007702025313039724,193,0.00012239402717147404,0.00016448721111933547,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T2_gaussian_greedy_sigma100.0.json
unconditional,baN,128,gaussian,greedy,2.0,,2,5,0.0,0.0,1.0,0.0,0.0,0.0,0.994,0.004899,500,-0.0,0.007625,2.0,2,False,71.6,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T2_gaussian_greedy_sigma2.0.json
unconditional,baN,128,gaussian,greedy,5.0,,2,5,0.024,0.012,1.0,0.0,0.024,0.012,0.992,0.007483,500,0.013781,0.041477,2.024,3,False,97.76,12,False,0.5,0.5,0.006747159090909091,12,0.001968503937007874,0.0026455026455026454,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T2_gaussian_greedy_sigma5.0.json
unconditional,baN,128,gaussian,greedy,10.0,,2,5,0.066,0.023324,1.0,0.0,0.066,0.023324,0.992,0.007483,500,0.047378,0.09124,2.068,3,False,101.16,33,False,0.2727272727272727,0.7272727272727273,0.006909919507575758,33,0.0007158196134574087,0.000962000962000962,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T2_gaussian_greedy_sigma10.0.json
unconditional,baN,128,gaussian,greedy,100.0,,4,5,0.374,0.047582,1.0,0.0,0.374,0.047582,0.988,0.011662,500,0.332699,0.417222,4.578,5,False,60.64,187,False,0.3850267379679144,0.6149732620320856,0.00768716577540107,187,0.00012632110825718976,0.0001697648756472286,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T4_gaussian_greedy_sigma100.0.json
unconditional,baN,128,uniform,categorical,,,32,5,0.58,0.029665,0.982,0.004,0.554,0.037736,0.962,0.013266,500,0.510182,0.596994,31.264,32,False,178.39,277,False,1.0,0.0,0.1585716864093625,200,0.00011460661280155865,0.00023104693140794225,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T32_uniform_categorical_none.json
unconditional,baN,128,uniform,greedy,,,64,5,0.298,0.032496,1.0,0.0,0.298,0.032496,1.0,0.0,500,0.259573,0.339508,63.874,64,False,187.22,149,False,0.5302013422818792,0.4697986577181208,0.007735267776165428,149,0.00021138297310151666,0.00026632576968147435,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T64_uniform_greedy_none.json
unconditional,baN,128,gaussian,greedy,256.0,,4,5,0.312,0.03763,1.0,0.0,0.312,0.03763,0.986,0.010198,500,0.272952,0.353915,4.818,5,False,76.1,156,False,0.5576923076923077,0.4423076923076923,0.007740772332506203,156,0.0002018978396931153,0.00025437525437525436,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T4_gaussian_greedy_sigma256.0.json
unconditional,baN,128,gaussian,greedy,50.0,,4,5,0.288,0.034293,1.0,0.0,0.288,0.034293,0.984,0.012,500,0.250043,0.32919,4.342,5,False,94.31,144,False,0.3263888888888889,0.6736111111111112,0.007603074009324009,144,0.00016404199475065617,0.0002204585537918871,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T4_gaussian_greedy_sigma50.0.json
unconditional,baN,128,gaussian,greedy,10.0,,4,5,0.044,0.028705,1.0,0.0,0.044,0.028705,0.986,0.014967,500,0.029234,0.06572,4.048,5,False,122.4,22,False,0.4090909090909091,0.5909090909090908,0.006831709956709957,22,0.0010737294201861132,0.001443001443001443,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T4_gaussian_greedy_sigma10.0.json
unconditional,baN,128,gaussian,greedy,5.0,,4,5,0.042,0.017205,1.0,0.0,0.042,0.017205,0.99,0.010954,500,0.027632,0.063352,4.012,5,False,149.44,21,False,0.38095238095238093,0.6190476190476191,0.006287202380952381,21,0.0011248593925759281,0.0015117157974300832,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T4_gaussian_greedy_sigma5.0.json
unconditional,baN,128,gaussian,greedy,2.0,,4,5,0.0,0.0,1.0,0.0,0.0,0.0,0.996,0.008,500,-0.0,0.007625,4.0,4,False,154.76,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T4_gaussian_greedy_sigma2.0.json
unconditional,baN,128,gaussian,greedy,20.0,,4,5,0.102,0.021354,1.0,0.0,0.102,0.021354,0.992,0.007483,500,0.078434,0.131635,4.114,5,False,139.15,51,False,0.27450980392156865,0.7254901960784313,0.007052696078431372,51,0.0004631773969430292,0.0006224712107065049,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T4_gaussian_greedy_sigma20.0.json
unconditional,baN,128,gaussian,greedy,1.0,,4,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,500,-0.0,0.007625,4.0,4,False,187.27,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T4_gaussian_greedy_sigma1.0.json
unconditional,baN,128,gaussian,greedy,256.0,,8,5,0.294,0.030725,1.0,0.0,0.294,0.030725,0.996,0.004899,500,0.255758,0.335384,8.788,9,False,101.43,147,False,0.6122448979591837,0.3877551020408163,0.007745521153666946,147,0.00021425893191922437,0.00032393909944930353,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T8_gaussian_greedy_sigma256.0.json
unconditional,baN,128,gaussian,greedy,100.0,,8,5,0.436,0.024166,1.0,0.0,0.436,0.024166,0.986,0.010198,500,0.393185,0.479791,8.57,9,False,130.3,218,False,0.3853211009174312,0.6146788990825688,0.007704538316582915,200,0.00010835801488116738,0.000145623998835008,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T8_gaussian_greedy_sigma100.0.json
unconditional,baN,128,gaussian,greedy,50.0,,8,5,0.458,0.03544,1.0,0.0,0.458,0.03544,0.99,0.010954,500,0.414814,0.501827,8.322,9,False,175.52,229,False,0.24890829694323144,0.7510917030567685,0.007584406407035176,200,0.00010315304473403707,0.0001386289595896583,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T8_gaussian_greedy_sigma50.0.json
unconditional,baN,128,uniform,categorical,,,64,5,0.682,0.027857,0.99,0.008944,0.672,0.026382,0.986,0.008,500,0.629673,0.711705,63.398,64,False,309.3,336,False,1.0,0.0,0.15841110313472123,200,9.462752241489437e-05,0.0001907714319780613,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T64_uniform_categorical_none.json
unconditional,baN,128,gaussian,greedy,20.0,,8,5,0.304,0.043174,1.0,0.0,0.304,0.043174,0.976,0.020591,500,0.265301,0.345687,8.06,9,False,238.39,152,False,0.19078947368421054,0.8092105263157895,0.007368638898570931,152,0.0001554082055532532,0.00020885547201336674,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T8_gaussian_greedy_sigma20.0.json
unconditional,baN,128,gaussian,greedy,256.0,,16,5,0.364,0.024166,1.0,0.0,0.364,0.024166,0.998,0.004,500,0.323011,0.407063,16.782,17,False,152.32,182,False,0.489010989010989,0.510989010989011,0.0077351860846335985,182,0.00017305529116552737,0.0002180359323216466,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T16_gaussian_greedy_sigma256.0.json
unconditional,baN,128,gaussian,greedy,10.0,,8,5,0.096,0.031369,1.0,0.0,0.096,0.031369,0.98,0.008944,500,0.073173,0.124988,8.044,9,False,256.08,48,False,0.3125,0.6875,0.006988308953900709,48,0.0004921259842519685,0.0006613756613756613,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T8_gaussian_greedy_sigma10.0.json
unconditional,baN,128,gaussian,greedy,5.0,,8,5,0.124,0.023324,1.0,0.0,0.124,0.023324,0.994,0.008,500,0.097946,0.155788,8.022,9,False,260.31,62,False,0.27419354838709675,0.7258064516129032,0.007093634320465362,62,0.000381000762001524,0.0005120327700972862,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T8_gaussian_greedy_sigma5.0.json
unconditional,baN,128,gaussian,greedy,1.0,,8,5,0.494,0.037202,1.0,0.0,0.494,0.037202,1.0,0.0,500,0.450389,0.537702,8.0,8,False,295.34,247,False,0.020242914979757085,0.979757085020243,0.0026692054020100503,200,9.563581880200198e-05,0.000128526444315918,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T8_gaussian_greedy_sigma1.0.json
unconditional,baN,128,gaussian,greedy,2.0,,8,5,0.374,0.025768,1.0,0.0,0.374,0.025768,1.0,0.0,500,0.332699,0.417222,8.004,9,False,302.75,187,False,0.0481283422459893,0.9518716577540107,0.005964830947041574,187,0.00012632110825718976,0.0001697648756472286,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T8_gaussian_greedy_sigma2.0.json
unconditional,baN,128,gaussian,greedy,100.0,,16,5,0.558,0.049153,1.0,0.0,0.558,0.049153,0.982,0.007483,500,0.514191,0.600925,16.39,17,False,229.85,279,False,0.3548387096774194,0.6451612903225806,0.007714353015075377,200,8.466683600033866e-05,0.00011378506002161917,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T16_gaussian_greedy_sigma100.0.json
unconditional,baN,128,gaussian,greedy,50.0,,16,5,0.658,0.051923,1.0,0.0,0.658,0.051923,0.974,0.014967,500,0.615355,0.698235,15.934,17,False,324.29,329,False,0.19148936170212766,0.8085106382978724,0.007618168969849246,200,7.179953569633584e-05,9.649249770830318e-05,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T16_gaussian_greedy_sigma50.0.json
unconditional,baN,128,uniform,greedy,,,128,5,0.57,0.06,0.996,0.004899,0.57,0.06,0.994,0.004899,500,0.526233,0.612699,127.45,128,False,530.49,285,False,0.38596491228070173,0.6140350877192983,0.007756752512562814,200,0.00011051250172675784,0.0001670843776106934,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T128_uniform_greedy_none.json
unconditional,baN,128,uniform,categorical,,,128,5,0.8,0.052915,0.996,0.004899,0.794,0.056071,0.992,0.011662,500,0.756373,0.827144,126.982,128,False,566.9,397,False,1.0,0.0,0.1586029418314737,200,8.000960115213825e-05,0.00016130007863378833,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T128_uniform_categorical_none.json
unconditional,baN,128,gaussian,greedy,20.0,,16,5,0.592,0.060795,1.0,0.0,0.592,0.060795,0.972,0.017205,500,0.548379,0.634218,15.64,17,False,391.4,296,False,0.11148648648648649,0.8885135135135135,0.0073798680904522615,200,7.980421366248138e-05,0.00010725010725010725,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T16_gaussian_greedy_sigma20.0.json
unconditional,baN,128,gaussian,greedy,256.0,,32,5,0.408,0.054185,1.0,0.0,0.408,0.054185,0.998,0.004,500,0.365782,0.451621,32.646,33,False,309.81,204,False,0.47058823529411764,0.5294117647058824,0.007746545226130653,200,0.0001157943492357573,0.0001556178026766262,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T32_gaussian_greedy_sigma256.0.json
unconditional,baN,128,gaussian,greedy,100.0,,32,5,0.68,0.042426,1.0,0.0,0.68,0.042426,0.99,0.006325,500,0.637872,0.719383,32.04,33,False,372.08,340,False,0.2823529411764706,0.7176470588235294,0.007693938442211055,200,6.947660954145438e-05,9.337068160597572e-05,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T32_gaussian_greedy_sigma100.0.json
unconditional,baN,128,gaussian,greedy,2.0,,16,5,0.512,0.060465,1.0,0.0,0.512,0.060465,0.996,0.004899,500,0.468261,0.555556,15.996,16,False,516.83,256,False,0.14453125,0.85546875,0.007897298994974874,200,9.227362204724409e-05,0.0001240079365079365,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T16_gaussian_greedy_sigma2.0.json
unconditional,baN,128,gaussian,greedy,10.0,,16,5,0.402,0.037094,1.0,0.0,0.402,0.037094,0.926,0.028705,500,0.359928,0.445566,15.554,17,False,512.4,201,False,0.08955223880597014,0.9104477611940298,0.00703910175879397,200,0.0001175226231049477,0.00015794045644791914,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T16_gaussian_greedy_sigma10.0.json
unconditional,baN,128,gaussian,greedy,5.0,,16,5,0.484,0.067112,1.0,0.0,0.484,0.067112,0.858,0.026382,500,0.440485,0.527759,15.688,17,False,563.38,242,False,0.1322314049586777,0.8677685950413223,0.007132341394472361,200,9.761176547146483e-05,0.00013118194936376755,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T16_gaussian_greedy_sigma5.0.json
unconditional,baN,128,gaussian,greedy,1.0,,16,5,0.538,0.045343,1.0,0.0,0.538,0.045343,1.0,0.0,500,0.494176,0.581244,16.0,16,False,598.41,269,False,0.11895910780669144,0.8810408921933086,0.008594535175879396,200,8.78143020226561e-05,0.00011801498790346374,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T16_gaussian_greedy_sigma1.0.json
unconditional,baN,128,uniform,greedy,,,256,5,0.788,0.027129,1.0,0.0,0.788,0.027129,0.998,0.004,500,0.750047,0.821561,253.392,255,False,888.86,394,False,0.31218274111675126,0.6878172588832487,0.007754396984924623,200,7.993924617290859e-05,0.00012086052695189751,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T256_uniform_greedy_none.json
unconditional,baN,128,uniform,categorical,,,256,5,0.886,0.021541,0.998,0.004,0.884,0.02245,0.998,0.004,500,0.852958,0.909187,253.312,255,False,916.7,442,False,1.0,0.0,0.15943482675290593,200,7.186360288173047e-05,0.0001448776689183071,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T256_uniform_categorical_none.json
unconditional,baN,128,gaussian,greedy,50.0,,32,5,0.728,0.011662,1.0,0.0,0.728,0.011662,0.988,0.011662,500,0.687367,0.765157,31.186,33,False,612.96,364,False,0.16758241758241757,0.8324175824175825,0.0075706658291457285,200,6.489573418707277e-05,8.721437292865864e-05,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T32_gaussian_greedy_sigma50.0.json
unconditional,baN,128,gaussian,greedy,20.0,,32,5,0.714,0.042708,1.0,0.0,0.714,0.042708,0.952,0.017205,500,0.672876,0.751861,30.674,33,False,771.79,357,False,0.11204481792717087,0.8879551820728291,0.007402245603015075,200,6.616819956328988e-05,8.892445867235783e-05,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T32_gaussian_greedy_sigma20.0.json
unconditional,baN,128,gaussian,greedy,256.0,,64,5,0.48,0.043359,1.0,0.0,0.48,0.043359,1.0,0.0,500,0.436528,0.523777,64.392,65,False,597.44,240,False,0.43333333333333335,0.5666666666666667,0.007744189698492462,200,9.84251968503937e-05,0.00013227513227513228,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T64_gaussian_greedy_sigma256.0.json
unconditional,baN,128,gaussian,greedy,10.0,,32,5,0.63,0.037417,1.0,0.0,0.63,0.037417,0.93,0.026833,500,0.586839,0.671178,30.63,33,False,882.57,315,False,0.06666666666666667,0.9333333333333333,0.007105841708542714,200,9.998750156230471e-05,0.00012597631645250694,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T32_gaussian_greedy_sigma10.0.json
unconditional,baN,128,gaussian,greedy,2.0,,32,5,0.676,0.05678,1.0,0.0,0.676,0.05678,0.896,0.013565,500,0.633771,0.715545,31.454,32,False,971.31,338,False,0.5946745562130178,0.4053254437869822,0.014928156407035176,200,9.318361831989936e-05,0.0001643655489809336,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T32_gaussian_greedy_sigma2.0.json
unconditional,baN,128,gaussian,greedy,100.0,,64,5,0.712,0.014697,0.998,0.004,0.712,0.014697,0.994,0.004899,500,0.67081,0.749957,63.34,65,False,798.3,356,False,0.2752808988764045,0.7247191011235955,0.00771356783919598,200,6.635406529240025e-05,0.00011146780809702159,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T64_gaussian_greedy_sigma100.0.json
unconditional,baN,128,gaussian,greedy,5.0,,32,5,0.612,0.022271,1.0,0.0,0.612,0.022271,0.89,0.015492,500,0.568587,0.653705,30.934,33,False,1114.19,306,False,0.13071895424836602,0.869281045751634,0.007526892273869347,200,0.00010292831043178426,0.00018155410312273057,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T32_gaussian_greedy_sigma5.0.json
unconditional,baN,128,gaussian,greedy,1.0,,32,5,0.73,0.032863,1.0,0.0,0.73,0.032863,0.876,0.018547,500,0.689441,0.767052,31.844,32,False,1152.13,365,False,0.6246575342465753,0.37534246575342467,0.017117619346733667,200,8.629058354007119e-05,0.00015220700152207003,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T32_gaussian_greedy_sigma1.0.json
unconditional,baN,128,uniform,greedy,,,512,5,0.88,0.020976,0.998,0.004,0.88,0.020976,0.998,0.004,500,0.84858,0.905626,505.724,509,False,1505.05,440,False,0.275,0.725,0.007754396984924623,200,5.3686471009305655e-05,9.018759018759019e-05,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T512_uniform_greedy_none.json
